Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,
CLP-6MC,3M,OG-Ticker,CLP-OIS6M-3M,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,3M,,,,
CLP-6MC,6M,OG-Ticker,CLP-OIS6M-6M,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,6M,,,,
CLP-6MC,9M,OG-Ticker,CLP-OIS6M-9M,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,9M,,,,
CLP-6MC,1Y,OG-Ticker,CLP-OIS6M-1Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,1Y,,,,
CLP-6MC,18M,OG-Ticker,CLP-OIS6M-18M,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,18M,,,,
CLP-6MC,2Y,OG-Ticker,CLP-OIS6M-2Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,2Y,,,,
CLP-6MC,3Y,OG-Ticker,CLP-OIS6M-3Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,3Y,,,,
CLP-6MC,4Y,OG-Ticker,CLP-OIS6M-4Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,4Y,,,,
CLP-6MC,5Y,OG-Ticker,CLP-OIS6M-5Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,5Y,,,,
CLP-6MC,6Y,OG-Ticker,CLP-OIS6M-6Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,6Y,,,,
CLP-6MC,7Y,OG-Ticker,CLP-OIS6M-7Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,7Y,,,,
CLP-6MC,8Y,OG-Ticker,CLP-OIS6M-8Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,8Y,,,,
CLP-6MC,9Y,OG-Ticker,CLP-OIS6M-9Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,9Y,,,,
CLP-6MC,10Y,OG-Ticker,CLP-OIS6M-10Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,10Y,,,,
CLP-6MC,15Y,OG-Ticker,CLP-OIS6M-15Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,15Y,,,,
CLP-6MC,20Y,OG-Ticker,CLP-OIS6M-20Y,MarketValue,OIS,CLP-FIXED-6M-CAMARA-OIS,20Y,,,,
