# TODO - no fixing series required
Reference,Date,Value
AED-EIBOR-3M,2006-09-05,0.0555
AED-EIBOR-3M,2006-09-06,0.0551
AED-EIBOR-3M,2006-09-07,0.0551
AED-EIBOR-3M,2006-09-11,0.0552667
AED-EIBOR-3M,2006-09-12,0.0553
AED-EIBOR-3M,2006-09-13,0.0553
AED-EIBOR-3M,2006-09-14,0.0553
AED-EIBOR-3M,2006-09-18,0.0553
AED-EIBOR-3M,2006-09-19,0.0554667
AED-EIBOR-3M,2006-09-20,0.0555
AED-EIBOR-3M,2006-09-21,0.0555
AED-EIBOR-3M,2006-09-24,0.0551
AED-EIBOR-3M,2006-09-25,0.0551
AED-EIBOR-3M,2006-09-26,0.055
AED-EIBOR-3M,2006-09-27,0.055
AED-EIBOR-3M,2006-09-28,0.055
AED-EIBOR-3M,2006-10-01,0.055
AED-EIBOR-3M,2006-10-02,0.055
AED-EIBOR-3M,2006-10-03,0.055
AED-EIBOR-3M,2006-10-04,0.055
AED-EIBOR-3M,2006-10-05,0.055
AED-EIBOR-3M,2006-10-08,0.055
AED-EIBOR-3M,2006-10-09,0.055
AED-EIBOR-3M,2006-10-10,0.055
AED-EIBOR-3M,2006-10-11,0.055
AED-EIBOR-3M,2006-10-12,0.055
AED-EIBOR-3M,2006-10-15,0.055
AED-EIBOR-3M,2006-10-16,0.055
AED-EIBOR-3M,2006-10-17,0.055
AED-EIBOR-3M,2006-10-18,0.055
AED-EIBOR-3M,2006-10-19,0.055
AED-EIBOR-3M,2006-10-22,0.055
AED-EIBOR-3M,2006-10-26,0.055
AED-EIBOR-3M,2006-10-29,0.055
AED-EIBOR-3M,2006-10-30,0.055
AED-EIBOR-3M,2006-10-31,0.055
AED-EIBOR-3M,2006-11-01,0.055
AED-EIBOR-3M,2006-11-02,0.055
AED-EIBOR-3M,2006-11-05,0.055
AED-EIBOR-3M,2006-11-06,0.055
AED-EIBOR-3M,2006-11-07,0.055
AED-EIBOR-3M,2006-11-08,0.055
AED-EIBOR-3M,2006-11-09,0.055
AED-EIBOR-3M,2006-11-12,0.055
AED-EIBOR-3M,2006-11-13,0.055
AED-EIBOR-3M,2006-11-14,0.055
AED-EIBOR-3M,2006-11-15,0.055
AED-EIBOR-3M,2006-11-16,0.055
AED-EIBOR-3M,2006-11-19,0.055
AED-EIBOR-3M,2006-11-20,0.055
AED-EIBOR-3M,2006-11-21,0.055
AED-EIBOR-3M,2006-11-22,0.055
AED-EIBOR-3M,2006-11-23,0.055
AED-EIBOR-3M,2006-11-26,0.055
AED-EIBOR-3M,2006-11-27,0.055
AED-EIBOR-3M,2006-11-28,0.055
AED-EIBOR-3M,2006-11-29,0.055
AED-EIBOR-3M,2006-11-30,0.055
AED-EIBOR-3M,2006-12-04,0.055
AED-EIBOR-3M,2006-12-05,0.055
AED-EIBOR-3M,2006-12-06,0.055
AED-EIBOR-3M,2006-12-07,0.055
AED-EIBOR-3M,2006-12-10,0.055
AED-EIBOR-3M,2006-12-11,0.055
AED-EIBOR-3M,2006-12-12,0.055
AED-EIBOR-3M,2006-12-13,0.055
AED-EIBOR-3M,2006-12-14,0.055
AED-EIBOR-3M,2006-12-18,0.055
AED-EIBOR-3M,2006-12-19,0.055
AED-EIBOR-3M,2006-12-20,0.05525
AED-EIBOR-3M,2006-12-21,0.0553
AED-EIBOR-3M,2006-12-25,0.055
AED-EIBOR-3M,2006-12-26,0.0553
AED-EIBOR-3M,2006-12-27,0.0553
AED-EIBOR-3M,2006-12-28,0.0553
AED-EIBOR-3M,2007-01-07,0.055
AED-EIBOR-3M,2007-01-08,0.055
AED-EIBOR-3M,2007-01-09,0.055
AED-EIBOR-3M,2007-01-10,0.055
AED-EIBOR-3M,2007-01-11,0.055
AED-EIBOR-3M,2007-01-15,0.055
AED-EIBOR-3M,2007-01-16,0.055
AED-EIBOR-3M,2007-01-17,0.055
AED-EIBOR-3M,2007-01-18,0.0551
AED-EIBOR-3M,2007-01-22,0.0551
AED-EIBOR-3M,2007-01-23,0.0551
AED-EIBOR-3M,2007-01-24,0.0551
AED-EIBOR-3M,2007-01-25,0.0551
AED-EIBOR-3M,2007-01-28,0.0551
AED-EIBOR-3M,2007-01-29,0.0551
AED-EIBOR-3M,2007-01-30,0.0551
AED-EIBOR-3M,2007-01-31,0.0552667
AED-EIBOR-3M,2007-02-01,0.0553
AED-EIBOR-3M,2007-02-04,0.0551571
AED-EIBOR-3M,2007-02-05,0.0551571
AED-EIBOR-3M,2007-02-06,0.0552
AED-EIBOR-3M,2007-02-07,0.0551286
AED-EIBOR-3M,2007-02-08,0.0551286
AED-EIBOR-3M,2007-02-12,0.0551286
AED-EIBOR-3M,2007-02-13,0.0551143
AED-EIBOR-3M,2007-02-14,0.0551143
AED-EIBOR-3M,2007-02-15,0.0551143
AED-EIBOR-3M,2007-02-18,0.0551
AED-EIBOR-3M,2007-02-19,0.0551
AED-EIBOR-3M,2007-02-20,0.0551
AED-EIBOR-3M,2007-02-21,0.0551
AED-EIBOR-3M,2007-02-22,0.0551
AED-EIBOR-3M,2007-02-25,0.0551
AED-EIBOR-3M,2007-02-26,0.0551
AED-EIBOR-3M,2007-02-27,0.0551
AED-EIBOR-3M,2007-02-28,0.0551
AED-EIBOR-3M,2007-03-01,0.0550143
AED-EIBOR-3M,2007-03-04,0.0550143
AED-EIBOR-3M,2007-03-05,0.0550143
AED-EIBOR-3M,2007-03-06,0.055
AED-EIBOR-3M,2007-03-07,0.055
AED-EIBOR-3M,2007-03-08,0.0547
AED-EIBOR-3M,2007-03-12,0.0547143
AED-EIBOR-3M,2007-03-14,0.055
AED-EIBOR-3M,2007-03-15,0.0551
AED-EIBOR-3M,2007-03-18,0.055
AED-EIBOR-3M,2007-03-19,0.055
AED-EIBOR-3M,2007-03-20,0.055
AED-EIBOR-3M,2007-03-21,0.0549286
AED-EIBOR-3M,2007-03-22,0.0545
AED-EIBOR-3M,2007-03-26,0.0545
AED-EIBOR-3M,2007-03-28,0.054
AED-EIBOR-3M,2007-03-29,0.054
AED-EIBOR-3M,2007-04-01,0.0536429
AED-EIBOR-3M,2007-04-02,0.0536429
AED-EIBOR-3M,2007-04-03,0.0535286
AED-EIBOR-3M,2007-04-04,0.0535286
AED-EIBOR-3M,2007-04-05,0.0535429
AED-EIBOR-3M,2007-04-09,0.054
AED-EIBOR-3M,2007-04-10,0.0540714
AED-EIBOR-3M,2007-04-11,0.0540857
AED-EIBOR-3M,2007-04-12,0.0540857
AED-EIBOR-3M,2007-04-16,0.0540714
AED-EIBOR-3M,2007-04-17,0.0540714
AED-EIBOR-3M,2007-04-19,0.054
